source_community,target_community,weight
3,6,16493
1,3,11618
3,5,10337
2,3,9545
5,6,6430
1,2,6349
1,6,5730
2,6,4016
0,1,3911
0,3,3776
1,5,3724
2,5,3248
0,6,1437
3,8,1427
0,2,1326
3,12,1158
0,5,1024
6,8,835
5,8,767
6,10,752
3,7,688
1,7,668
3,10,646
3,11,634
3,4,631
2,4,538
1,11,502
6,12,491
4,6,470
3,26,469
5,10,446
2,8,403
1,12,385
5,12,377
2,11,370
6,26,364
2,7,348
1,8,343
6,7,341
2,12,326
1,4,313
5,26,294
6,11,264
2,10,250
1,10,240
5,11,231
2,26,214
3,19,192
1,26,174
4,5,169
0,4,167
5,7,158
0,12,146
0,7,144
0,11,128
2,19,108
6,19,84
0,8,82
2,16,72
1,19,71
3,21,67
3,16,65
8,10,64
5,19,52
0,10,48
8,12,46
6,16,42
0,26,42
6,21,38
4,11,30
11,12,30
0,19,29
1,16,25
1,15,22
5,16,22
7,8,22
4,7,21
5,21,20
12,26,19
4,8,18
8,26,18
4,12,18
8,11,18
7,12,17
2,21,16
7,11,15
2,15,15
10,12,15
4,10,14
10,11,13
10,26,13
1,21,13
11,26,12
0,21,10
7,26,8
3,25,7
8,19,6
11,19,5
7,10,5
19,26,4
2,25,4
4,26,4
12,19,3
3,34,3
10,19,3
6,25,3
7,19,3
1,25,3
3,28,2
3,15,2
4,19,2
4,21,2
3,35,2
3,32,2
2,22,2
1,23,2
3,14,2
3,24,2
2,9,2
1,13,2
3,13,2
3,23,2
3,17,2
5,25,2
0,16,2
3,31,1
5,23,1
5,34,1
5,28,1
5,27,1
5,13,1
3,27,1
5,15,1
5,35,1
3,29,1
6,31,1
0,25,1
3,18,1
6,13,1
6,14,1
3,9,1
4,15,1
6,24,1
2,35,1
6,27,1
6,28,1
3,30,1
2,23,1
3,36,1
2,27,1
2,14,1
7,16,1
1,14,1
8,16,1
1,18,1
1,35,1
8,21,1
1,33,1
1,32,1
1,24,1
4,16,1
11,16,1
11,21,1
1,22,1
12,16,1
1,20,1
1,28,1
6,23,1
6,32,1
5,32,1
1,17,1
