id,community_id,degree,name
0,24,1,Eiryyy
1,7,8,shawflying
2,16,1,JpMCarrilho
3,17,5,SuhwanCha
4,14,2,sunilangadi2
5,3,1,j6montoya
6,26,6,sfate
7,30,8,amituuush
8,29,8,mauroherlein
9,8,7,ParadoxZero
10,26,66,llazzaro
11,32,2,beeva-manueldepaz
12,5,6,damianmuti
13,12,3,apobbati
14,7,18,hwlv
15,29,18,haroldoramirez
16,33,1,jasonblanchard
17,18,3,BahiHussein
18,22,3,itsmevanessi
19,18,22,nwjsmith
20,34,4,chengzhipeng
21,26,33,tiensonqin
22,18,7,pdokas
23,12,12,maxfierke
24,18,18,davidthewatson
25,20,14,kidbai
26,20,7,Micanss
27,32,70,hepin1989
28,1,1,ashphy
29,32,2,soberanes
30,30,6,rajatpatel2113
31,20,7,ehlxr
32,23,2,city292
33,23,2,riverphoenix
34,23,4,AnqiYang
35,20,27,CN-Sean
36,20,23,Myoursky
37,14,1,ariepratama
38,32,127,linjunpop
39,1,1,MLoughry
40,26,5,bombworm
41,22,7,kmiladi
42,12,55,indreklasn
43,20,8,littlexiang
44,34,2,tannersteele
45,24,3,FantinBibas
46,17,3,ngothanhtai
47,36,1,diluga
48,34,2,ForrestPi
49,14,5,sorenbouma
50,25,2,th3brink
51,22,5,damianlajara
52,4,31,DQNEO
53,33,2,carloseberhardt
54,34,1,moraispgsi
55,5,3,crispe1586
56,8,88,TarrySingh
57,1,1,gideonheilbron
58,10,7,roalcantara
59,6,1,novinsh
60,2,1,XiaocongDong
61,30,21,muhammadfaizan
62,23,1,bigzhao
63,16,1,guillecro
64,17,1,7772
65,32,3,paranoiasystem
66,18,4,Endika
67,0,27,jasperblues
68,13,4,ogirginc
69,4,12,shogochiai
70,1,1,TinaBryan
71,0,3,iksnae
72,0,6,mafellows
73,30,1267,kentcdodds
74,4,6,DennisWanjiru
75,27,18,rupesh1310
76,13,4,ayberkanilatsiz
77,2,1,fangying
78,15,15,rozentill
79,6,1,talentkeychen
80,19,1,lilosir
81,20,19,g8up
82,34,2,shz2050
83,15,7,Bjoux2
84,11,2,MasihKarimi
85,27,5,SeunghunSunmoonLee
86,22,54,milon
87,12,24,fernandojsg
88,22,44,keyvanakbary
89,18,5,MarcoCabazal
90,23,5,hisrg
91,25,2,timmo001
92,26,55,AD7six
93,1,1,pragyandas
94,20,144,starkwang
95,13,1,rubensfernandes
96,34,1,stoprocent
97,18,9,pmn
98,26,23,aviflax
99,8,19,paulgureghian
100,3,1,Silic0nS0ldier
101,15,47,mingkin
102,31,2,ferschke
103,14,3,git-kale
104,20,8,helexy22
105,5,13,rioastamal
106,4,5,jvperrin
107,35,47,iblancasa
108,28,23,HYPJUDY
109,23,4,ellenmellon
110,7,6,qingbusheng
111,11,2,luizjr
112,2,1,pikanglong
113,5,7,JohnMars
114,20,7,maurodelazeri
115,15,5,sharpstill
116,8,9,myedibleenso
117,6,2,neelkirit
118,17,6,jicjjang
