id,community_id,degree,name
0,23,1,Eiryyy
1,15,8,shawflying
2,23,1,JpMCarrilho
3,6,5,SuhwanCha
4,34,2,sunilangadi2
5,26,1,j6montoya
6,32,6,sfate
7,12,8,amituuush
8,35,8,mauroherlein
9,7,7,ParadoxZero
10,13,66,llazzaro
11,36,2,beeva-manueldepaz
12,17,6,damianmuti
13,15,3,apobbati
14,20,18,hwlv
15,9,18,haroldoramirez
16,25,1,jasonblanchard
17,13,3,BahiHussein
18,4,3,itsmevanessi
19,28,22,nwjsmith
20,33,4,chengzhipeng
21,32,33,tiensonqin
22,5,7,pdokas
23,16,12,maxfierke
24,24,18,davidthewatson
25,16,14,kidbai
26,27,7,Micanss
27,35,70,hepin1989
28,29,1,ashphy
29,35,2,soberanes
30,30,6,rajatpatel2113
31,28,7,ehlxr
32,36,2,city292
33,31,2,riverphoenix
34,0,4,AnqiYang
35,27,27,CN-Sean
36,19,23,Myoursky
37,26,1,ariepratama
38,35,127,linjunpop
39,8,1,MLoughry
40,13,5,bombworm
41,28,7,kmiladi
42,33,55,indreklasn
43,20,8,littlexiang
44,18,2,tannersteele
45,28,3,FantinBibas
46,33,3,ngothanhtai
47,26,1,diluga
48,34,2,ForrestPi
49,11,5,sorenbouma
50,4,2,th3brink
51,9,5,damianlajara
52,12,31,DQNEO
53,3,2,carloseberhardt
54,9,1,moraispgsi
55,33,3,crispe1586
56,7,88,TarrySingh
57,29,1,gideonheilbron
58,33,7,roalcantara
59,11,1,novinsh
60,10,1,XiaocongDong
61,30,21,muhammadfaizan
62,26,1,bigzhao
63,1,1,guillecro
64,23,1,7772
65,20,3,paranoiasystem
66,13,4,Endika
67,24,27,jasperblues
68,9,4,ogirginc
69,15,12,shogochiai
70,29,1,TinaBryan
71,35,3,iksnae
72,4,6,mafellows
73,5,1267,kentcdodds
74,24,6,DennisWanjiru
75,17,18,rupesh1310
76,19,4,ayberkanilatsiz
77,10,1,fangying
78,7,15,rozentill
79,26,1,talentkeychen
80,21,1,lilosir
81,27,19,g8up
82,18,2,shz2050
83,36,7,Bjoux2
84,34,2,MasihKarimi
85,11,5,SeunghunSunmoonLee
86,24,54,milon
87,16,24,fernandojsg
88,5,44,keyvanakbary
89,35,5,MarcoCabazal
90,0,5,hisrg
91,18,2,timmo001
92,32,55,AD7six
93,29,1,pragyandas
94,12,144,starkwang
95,1,1,rubensfernandes
96,23,1,stoprocent
97,32,9,pmn
98,32,23,aviflax
99,11,19,paulgureghian
100,26,1,Silic0nS0ldier
101,15,47,mingkin
102,34,2,ferschke
103,31,3,git-kale
104,19,8,helexy22
105,17,13,rioastamal
106,5,5,jvperrin
107,15,47,iblancasa
108,0,23,HYPJUDY
109,0,4,ellenmellon
110,20,6,qingbusheng
111,34,2,luizjr
112,10,1,pikanglong
113,2,7,JohnMars
114,20,7,maurodelazeri
115,0,5,sharpstill
116,7,9,myedibleenso
117,7,2,neelkirit
118,33,6,jicjjang
119,15,135,denysdovhan
120,11,25,nrkfeller
121,16,3,thiennn
122,22,3,paulhuisman
123,8,1,quraisahamid
124,27,12,gsw945
125,27,17,Deardrops
126,36,6,Rajat2712
127,18,2,adichad
128,25,1,stephanedenis
129,14,13,thrifus
130,16,5,francisfsjiang
131,13,27,razbakov
132,10,3,sawyes
133,15,4,h3nnn4n
134,32,18,nevir
135,17,6,moeinrahimi
136,4,3,forhadulislam
137,4,5,neu-rah
138,34,2,iriswang1
139,6,10,Marthyn
140,3,32,flavorjones
141,3,17,davidyell
142,9,3,adityaas26
143,28,7,rafaelcamaram
144,13,78,smamran
145,33,4,anayini
146,0,4,hunkyu
147,20,2,chaodaqing
148,14,3,elPandaFriki
149,34,2,stefanhendriks
150,30,9,BoyWithSilverWings
151,18,2,samehkamaleldin
152,36,3,GuanlinLee
153,21,1,kangshaoshun
154,15,3,fuse-mars
155,31,2,dimgold
156,28,16,AndreiRailean
157,24,9,dongrenguang
158,31,2,LiXiuhong
159,0,103,minrk
160,29,1,sureshsarda
161,0,3,mahdiabdolmaleki
162,22,6,alethea
163,28,2,banixc
164,22,8,besquared
