id,community_id,degree,name
0,0,1,Eiryyy
1,0,8,shawflying
2,0,1,JpMCarrilho
3,0,5,SuhwanCha
4,0,2,sunilangadi2
5,0,1,j6montoya
6,0,6,sfate
7,0,8,amituuush
8,0,8,mauroherlein
9,0,7,ParadoxZero
10,0,66,llazzaro
11,0,2,beeva-manueldepaz
12,0,6,damianmuti
13,0,3,apobbati
14,0,18,hwlv
15,0,18,haroldoramirez
16,0,1,jasonblanchard
17,0,3,BahiHussein
18,0,3,itsmevanessi
19,0,22,nwjsmith
20,0,4,chengzhipeng
21,0,33,tiensonqin
22,0,7,pdokas
23,0,12,maxfierke
24,0,18,davidthewatson
25,0,14,kidbai
26,0,7,Micanss
27,0,70,hepin1989
28,0,1,ashphy
29,0,2,soberanes
30,0,6,rajatpatel2113
31,0,7,ehlxr
32,0,2,city292
33,0,2,riverphoenix
34,0,4,AnqiYang
35,0,27,CN-Sean
36,0,23,Myoursky
37,0,1,ariepratama
38,0,127,linjunpop
39,0,1,MLoughry
40,0,5,bombworm
41,0,7,kmiladi
42,0,55,indreklasn
43,0,8,littlexiang
44,0,2,tannersteele
45,0,3,FantinBibas
46,0,3,ngothanhtai
47,0,1,diluga
48,0,2,ForrestPi
49,0,5,sorenbouma
50,0,2,th3brink
51,0,5,damianlajara
52,0,31,DQNEO
53,0,2,carloseberhardt
54,0,1,moraispgsi
55,0,3,crispe1586
56,0,88,TarrySingh
57,0,1,gideonheilbron
58,0,7,roalcantara
59,0,1,novinsh
60,2,1,XiaocongDong
61,0,21,muhammadfaizan
62,0,1,bigzhao
63,0,1,guillecro
64,0,1,7772
65,0,3,paranoiasystem
66,0,4,Endika
67,0,27,jasperblues
68,0,4,ogirginc
69,0,12,shogochiai
70,0,1,TinaBryan
71,0,3,iksnae
72,0,6,mafellows
73,0,1267,kentcdodds
74,0,6,DennisWanjiru
75,0,18,rupesh1310
76,0,4,ayberkanilatsiz
77,0,1,fangying
78,0,15,rozentill
79,0,1,talentkeychen
80,0,1,lilosir
81,0,19,g8up
82,0,2,shz2050
83,0,7,Bjoux2
84,0,2,MasihKarimi
85,0,5,SeunghunSunmoonLee
86,0,54,milon
87,0,24,fernandojsg
88,0,44,keyvanakbary
89,0,5,MarcoCabazal
90,0,5,hisrg
91,0,2,timmo001
92,0,55,AD7six
93,0,1,pragyandas
94,0,144,starkwang
95,0,1,rubensfernandes
96,0,1,stoprocent
97,0,9,pmn
98,0,23,aviflax
99,0,19,paulgureghian
100,0,1,Silic0nS0ldier
101,0,47,mingkin
102,0,2,ferschke
103,0,3,git-kale
104,0,8,helexy22
105,0,13,rioastamal
106,0,5,jvperrin
107,0,47,iblancasa
108,0,23,HYPJUDY
109,0,4,ellenmellon
110,0,6,qingbusheng
111,0,2,luizjr
112,0,1,pikanglong
113,0,7,JohnMars
114,0,7,maurodelazeri
115,0,5,sharpstill
116,0,9,myedibleenso
117,5,2,neelkirit
118,0,6,jicjjang
119,0,135,denysdovhan
120,0,25,nrkfeller
121,0,3,thiennn
122,0,3,paulhuisman
123,0,1,quraisahamid
124,0,12,gsw945
125,0,17,Deardrops
126,0,6,Rajat2712
127,0,2,adichad
128,0,1,stephanedenis
129,0,13,thrifus
130,0,5,francisfsjiang
131,0,27,razbakov
132,0,3,sawyes
