id,community_id,degree,name
0,0,1,Eiryyy
1,1,8,shawflying
2,5,1,JpMCarrilho
3,4,5,SuhwanCha
4,6,2,sunilangadi2
5,2,1,j6montoya
6,3,6,sfate
7,6,8,amituuush
8,5,8,mauroherlein
9,2,7,ParadoxZero
10,3,66,llazzaro
11,2,2,beeva-manueldepaz
12,6,6,damianmuti
13,11,3,apobbati
14,1,18,hwlv
15,5,18,haroldoramirez
16,3,1,jasonblanchard
17,3,3,BahiHussein
18,3,3,itsmevanessi
19,3,22,nwjsmith
20,0,4,chengzhipeng
21,3,33,tiensonqin
22,3,7,pdokas
23,5,12,maxfierke
24,3,18,davidthewatson
25,1,14,kidbai
26,1,7,Micanss
27,1,70,hepin1989
28,6,1,ashphy
29,5,2,soberanes
30,6,6,rajatpatel2113
31,1,7,ehlxr
32,2,2,city292
33,2,2,riverphoenix
34,2,4,AnqiYang
35,1,27,CN-Sean
36,1,23,Myoursky
37,2,1,ariepratama
38,3,127,linjunpop
39,5,1,MLoughry
40,3,5,bombworm
41,5,7,kmiladi
42,6,55,indreklasn
43,1,8,littlexiang
44,0,2,tannersteele
45,0,3,FantinBibas
46,11,3,ngothanhtai
47,2,1,diluga
48,1,2,ForrestPi
49,2,5,sorenbouma
50,6,2,th3brink
51,11,5,damianlajara
52,0,31,DQNEO
53,3,2,carloseberhardt
54,5,1,moraispgsi
55,6,3,crispe1586
56,2,88,TarrySingh
57,3,1,gideonheilbron
58,5,7,roalcantara
59,2,1,novinsh
60,1,1,XiaocongDong
61,6,21,muhammadfaizan
62,2,1,bigzhao
63,5,1,guillecro
64,4,1,7772
65,1,3,paranoiasystem
66,3,4,Endika
67,0,27,jasperblues
68,12,4,ogirginc
69,0,12,shogochiai
70,6,1,TinaBryan
71,0,3,iksnae
72,0,6,mafellows
73,6,1267,kentcdodds
74,10,6,DennisWanjiru
75,8,18,rupesh1310
76,12,4,ayberkanilatsiz
77,1,1,fangying
78,2,15,rozentill
79,2,1,talentkeychen
80,1,1,lilosir
81,1,19,g8up
82,0,2,shz2050
83,2,7,Bjoux2
84,5,2,MasihKarimi
85,4,5,SeunghunSunmoonLee
86,8,54,milon
87,3,24,fernandojsg
88,5,44,keyvanakbary
89,3,5,MarcoCabazal
90,2,5,hisrg
91,5,2,timmo001
92,3,55,AD7six
93,6,1,pragyandas
94,1,144,starkwang
95,10,1,rubensfernandes
96,0,1,stoprocent
97,3,9,pmn
98,3,23,aviflax
99,2,19,paulgureghian
100,2,1,Silic0nS0ldier
101,2,47,mingkin
102,2,2,ferschke
103,2,3,git-kale
104,1,8,helexy22
105,6,13,rioastamal
106,0,5,jvperrin
107,16,47,iblancasa
108,2,23,HYPJUDY
109,2,4,ellenmellon
110,1,6,qingbusheng
111,5,2,luizjr
112,1,1,pikanglong
113,6,7,JohnMars
114,1,7,maurodelazeri
115,2,5,sharpstill
116,2,9,myedibleenso
117,2,2,neelkirit
118,4,6,jicjjang
119,6,135,denysdovhan
120,3,25,nrkfeller
121,6,3,thiennn
122,3,3,paulhuisman
123,6,1,quraisahamid
124,2,12,gsw945
125,1,17,Deardrops
126,2,6,Rajat2712
127,3,2,adichad
128,3,1,stephanedenis
129,0,13,thrifus
130,1,5,francisfsjiang
131,5,27,razbakov
132,1,3,sawyes
133,5,4,h3nnn4n
134,3,18,nevir
135,0,6,moeinrahimi
136,8,3,forhadulislam
137,1,5,neu-rah
138,2,2,iriswang1
139,3,10,Marthyn
140,3,32,flavorjones
141,3,17,davidyell
142,2,3,adityaas26
143,5,7,rafaelcamaram
144,3,78,smamran
145,0,4,anayini
146,2,4,hunkyu
147,1,2,chaodaqing
148,10,3,elPandaFriki
149,1,2,stefanhendriks
150,6,9,BoyWithSilverWings
151,6,2,samehkamaleldin
152,2,3,GuanlinLee
153,1,1,kangshaoshun
154,5,3,fuse-mars
155,2,2,dimgold
156,3,16,AndreiRailean
157,1,9,dongrenguang
158,2,2,LiXiuhong
159,2,103,minrk
160,3,1,sureshsarda
161,1,3,mahdiabdolmaleki
162,3,6,alethea
163,1,2,banixc
164,3,8,besquared
165,5,2,BlackDante
166,2,53,mohanarunachalam
167,1,2,crosstreet74
168,0,27,LeonardoCardoso
169,1,1,ascode
170,5,1,jakobsandberg
171,0,2,asinbow
172,2,1,aarzchan
173,2,5,anilkunwar
174,3,7,bushidocodes
175,3,29,davegomez
176,5,3,SecureCloud-biz
177,6,6,ibnujakaria
178,3,7,Joe8Bit
179,10,20,frankodoom
180,5,5,lxchavez
181,3,19,sjwilliams
182,2,39,YunzhuLi
183,5,3,chenlongqiang
184,1,61,surunzi
185,3,28,poudel
186,8,3,Daaaaad
187,2,3,boxabirds
188,3,1,Graphettion
189,7,3,szenekonzept
190,3,9,nicolsc
191,1,2,Kingson4Wu
192,6,16,iamKael
193,1,18,findingsea
194,3,25,redaxmedia
195,6,2,r3dcrosse
196,3,1,amoose136
197,8,40,osmangoninahid
198,16,5,eparejatobes
199,2,2,craigrshenton
200,3,8,thierrymichel
201,6,23,dikyarga
202,26,3,saeedtabrizi
203,1,13,mikaelkaron
204,1,1,Solicite
205,2,10,F36
206,2,3,chenxuhao
207,11,2,HiDAl
208,6,6,kasiditi
209,6,1,thisismydesign
210,1,5,summerwang0915
211,2,1,lupengkai
212,1,2,jiangxtx
213,2,8,hanyeliu
214,2,6,lijiannuist
215,6,7,AghilesAzzoug
216,3,7,karel-3d
217,1,1,SeanJia
218,2,35,ilija139
219,6,36,ahmedalaahagag
220,2,1,chenxy99
221,5,1,Cristian006
222,8,4,dedevillela
223,0,9,NoahOrberg
224,1,7,panda020111
225,1,1,caddyliu
226,2,3,rdspring1
227,6,10,itsJASPERr
228,0,19,Drunkar
229,6,1,rousseauo
230,6,23,rqbazan
231,3,6,iamnapo
232,2,23,cowlicks
233,11,4,ed-george
234,2,1,tessavdheiden
235,1,9,juliotorresmoreno
236,3,7,mfilej
237,6,3,MilindaLaknath
238,5,1,antonov
239,2,52,hjanime
240,3,29,meyskens
241,5,12,lazarofl
242,1,17,lmm0591
243,2,11,mattdennewitz
244,3,11,Gdewilde
245,3,1,ZhengshengWei
246,1,9,petitspois
247,2,1,lymhust
248,1,3,suliang
249,5,1,MeteALANLI
250,3,3,olohmann
251,3,2,McKenzieJDan
252,6,1,mar-bi
253,7,45,kaochenlong
254,6,4,herbat73
255,6,9,ihorzenich
256,6,2,jlilja
257,3,4,gon250
258,5,6,loic-sharma
259,2,2,GTmac
260,3,9,apetresc
261,3,11,nicktoumpelis
262,6,9,dweekly
263,5,2,brandon-beacher
264,6,13,luismendozamx
265,11,12,jumbosushi
266,12,11,anilozmen
267,2,1,prashanthbasani
268,2,2,rodionovp
269,2,18,naupaka
270,4,5,not-for-me
271,2,2,jmgirard
272,11,5,ecrider
273,1,11,ding-hai
274,11,6,rkyymmt
275,3,5,guillaumerose
276,1,7,nevernet
277,3,24,priyatam
278,6,16,ganesharulanantham
279,6,5,justein
280,10,2,eoinsha
281,6,25,skyhitblog
282,2,17,ashish1500616
283,5,1,alberto-hortelano
284,0,11,felipesabino
285,1,7,saifeiLee
286,5,2,Guzpenha
287,3,4,a-dabrowski
288,2,4,AotY
289,1,1,scanfyu
290,1,1,thunderrun
291,3,7,splorp
292,3,1,actionsmile
293,3,5,johngriffin
294,6,3,felixhorro
295,3,4,larc000
296,26,17,arashm
297,6,15,regalius
298,3,34,akatrevorjay
299,2,1,aglupotto
300,2,4,levindoneto
301,3,7,milesgranger
302,1,7,AlixChiong
303,2,8,KinglittleQ
304,5,3,asanka94
305,3,12,cakecatz
306,6,1,stringariSM
307,1,3,liuganggang
308,1,82,kinvix
309,3,19,MarkBennett
310,5,5,mafairnet
311,3,19,davequick
312,1,3,carolove
313,3,4,Roma36
314,3,12,jordanpapaleo
315,2,3,soutik
316,5,5,dmente03
317,3,3,stevenlr
318,5,5,ebertti
319,5,9,lsd
320,2,15,miho
321,3,45,javiercejudo
322,6,3,seik
323,6,8,romanslonov
324,1,4,Liweimin0512
325,5,8,Jyothsnasrinivas
326,3,50,boneskull
327,3,5,artisonian
328,3,3,jkusachi
329,6,1,RodrigoCS
330,8,2,kgaut
331,2,1,MrShininnnnn
332,6,44,TrueMoein
333,0,13,aoberoi
334,3,3,JacobOscarson
335,3,33,cwilgenhoff
336,3,8,keilw
337,0,47,JuIioCesar
338,2,10,bukosabino
339,3,6,jack4it
340,1,5,FrontMage
341,3,8,arrygoo
342,3,7,mattwoodnyc
343,3,20,emmericp
344,2,4,Torreshan
345,2,11,penberg
346,3,9,hallahan
347,5,5,gravataLonga
348,5,6,SabraAS
349,5,3,alvimm
350,19,4,Kirschn
351,6,8,joelseq
352,5,23,leonardothibes
353,10,4,adesege
354,6,2,bikingbadger
355,2,2,hackerxiaobai
356,6,9,romariolopezc
357,5,19,gberger
358,3,9,leifmadsen
359,2,7,mapninja
360,6,50,jgw96
361,1,11,Tomotoes
362,6,14,aalises
363,1,10,imcco
364,1,48,keepfit
365,5,2,Perfect-Web
366,2,4,Polkas
367,2,1,alexandersvozil
368,1,23,Arthraim
369,2,2,nmadapan
370,4,4,rheech
371,6,6,chosenvictim
372,3,1,chrisgillis
373,2,4,WhoIsJack
374,1,4,latelee
375,5,1,Jaekr
376,4,25,novemberde
377,3,3,lyzzard
378,6,40,JasonEtco
379,1,2,paincompiler
380,3,1,ThomasLarge
381,1,1,ivosequeros
382,2,1,samsonchen1989
383,2,37,Separius
384,0,2,cnjsstong
385,2,2,benschaaf
386,2,6,baishali-ghosh
387,4,3,markui
388,6,15,AbdallahMezo
389,5,3,skrosoft
390,2,1,humblem2
391,3,1,mattcontet
392,1,1,qyz777
393,3,79,guilleiguaran
394,2,2,kripaz777
395,6,3,sturmenta
396,3,2,jensjns
397,12,11,syy
398,2,3,chufanwu
399,1,3,kyohei8
400,3,8,28
401,2,22,MrGemy95
402,6,1,anggagewor
403,3,31,maggit
404,0,6,mateuszszklarek
405,1,2,angadn
406,2,1,reyuwei
407,3,7,rodnylobos
408,1,8,Neras
409,3,12,sourishkrout
410,6,2,ZhaoZeyu1995
411,1,22,SmartDoubleXiao
412,8,16,cheh
413,3,17,paulsmith
414,5,3,DrDarbin
415,5,3,SchabrechtsK
416,3,11,92bondstreet
417,2,8,animesh-chouhan
418,3,11,reemardelarosa
419,3,5,mishrarohit
420,1,10,QhelDIV
421,2,33,iskandr
422,0,5,Sublio
423,6,12,hongyanh
424,1,1,Jywud
425,3,41,montyanderson
426,3,8,glacials
427,1,4,PursueHappinessDirectly
428,10,1,nim4n136
429,2,2,Fuhongshuai
430,2,14,cjf00000
431,1,4,PrinceChou
432,5,24,jaggy
433,3,11,jarek-przygodzki
434,2,2,deepakrana47
435,2,2,dcanones
436,26,3,mxl
437,8,38,ramsaylanier
438,0,7,TAmbition
439,6,13,oknoorap
440,6,49,igeligel
441,2,4,MarshalLeeeeee
442,2,5,dridk
443,11,4,ryanrushing
444,6,24,SaqibHussain44
445,11,10,marcoacierno
446,0,6,sandy183
447,5,11,fernandomoraes
448,5,5,sonfordson
449,1,1,nobillowseagit
450,2,20,shaddygarg
451,1,7,SummerRC
452,3,130,daviddias
453,6,2,MarkPolivchuk
454,10,5,gathuku
455,6,11,ekospinach
456,6,7,perjerz3434
457,5,20,olarclara
458,3,15,guiguan
