id,community_id,degree,name
0,6,1,Eiryyy
1,32,8,shawflying
2,16,1,JpMCarrilho
3,11,5,SuhwanCha
4,28,2,sunilangadi2
5,35,1,j6montoya
6,6,6,sfate
7,0,8,amituuush
8,6,8,mauroherlein
9,9,7,ParadoxZero
10,6,66,llazzaro
11,5,2,beeva-manueldepaz
12,16,6,damianmuti
13,6,3,apobbati
14,32,18,hwlv
15,6,18,haroldoramirez
16,0,1,jasonblanchard
17,6,3,BahiHussein
18,6,3,itsmevanessi
19,6,22,nwjsmith
20,32,4,chengzhipeng
21,6,33,tiensonqin
22,0,7,pdokas
23,0,12,maxfierke
24,0,18,davidthewatson
25,32,14,kidbai
26,14,7,Micanss
27,14,70,hepin1989
28,16,1,ashphy
29,5,2,soberanes
30,0,6,rajatpatel2113
31,32,7,ehlxr
32,13,2,city292
33,7,2,riverphoenix
34,28,4,AnqiYang
35,32,27,CN-Sean
36,14,23,Myoursky
37,35,1,ariepratama
38,5,127,linjunpop
39,0,1,MLoughry
40,5,5,bombworm
41,16,7,kmiladi
42,0,55,indreklasn
43,14,8,littlexiang
44,0,2,tannersteele
45,23,3,FantinBibas
46,6,3,ngothanhtai
47,35,1,diluga
48,36,2,ForrestPi
49,19,5,sorenbouma
50,0,2,th3brink
51,6,5,damianlajara
52,0,31,DQNEO
53,0,2,carloseberhardt
54,4,1,moraispgsi
55,8,3,crispe1586
56,13,88,TarrySingh
57,0,1,gideonheilbron
58,16,7,roalcantara
59,13,1,novinsh
60,33,1,XiaocongDong
61,6,21,muhammadfaizan
62,22,1,bigzhao
63,16,1,guillecro
64,11,1,7772
65,5,3,paranoiasystem
66,6,4,Endika
67,5,27,jasperblues
68,0,4,ogirginc
69,0,12,shogochiai
70,0,1,TinaBryan
71,35,3,iksnae
72,6,6,mafellows
73,0,1267,kentcdodds
74,8,6,DennisWanjiru
75,6,18,rupesh1310
76,8,4,ayberkanilatsiz
77,3,1,fangying
78,7,15,rozentill
79,23,1,talentkeychen
80,5,1,lilosir
81,14,19,g8up
82,32,2,shz2050
83,22,7,Bjoux2
84,8,2,MasihKarimi
85,6,5,SeunghunSunmoonLee
86,16,54,milon
87,6,24,fernandojsg
88,16,44,keyvanakbary
89,6,5,MarcoCabazal
90,33,5,hisrg
91,0,2,timmo001
92,0,55,AD7six
93,0,1,pragyandas
94,32,144,starkwang
95,29,1,rubensfernandes
96,5,1,stoprocent
97,0,9,pmn
98,6,23,aviflax
99,9,19,paulgureghian
100,35,1,Silic0nS0ldier
101,22,47,mingkin
102,35,2,ferschke
103,13,3,git-kale
104,3,8,helexy22
105,0,13,rioastamal
106,35,5,jvperrin
107,35,47,iblancasa
108,22,23,HYPJUDY
109,7,4,ellenmellon
110,3,6,qingbusheng
111,16,2,luizjr
112,36,1,pikanglong
113,0,7,JohnMars
114,5,7,maurodelazeri
115,7,5,sharpstill
116,9,9,myedibleenso
117,7,2,neelkirit
118,11,6,jicjjang
119,6,135,denysdovhan
120,35,25,nrkfeller
121,6,3,thiennn
122,16,3,paulhuisman
123,0,1,quraisahamid
124,1,12,gsw945
125,3,17,Deardrops
126,13,6,Rajat2712
127,35,2,adichad
128,6,1,stephanedenis
129,5,13,thrifus
130,36,5,francisfsjiang
131,16,27,razbakov
132,32,3,sawyes
133,16,4,h3nnn4n
134,0,18,nevir
135,6,6,moeinrahimi
136,16,3,forhadulislam
137,5,5,neu-rah
138,25,2,iriswang1
139,17,10,Marthyn
140,6,32,flavorjones
141,16,17,davidyell
142,26,3,adityaas26
143,16,7,rafaelcamaram
144,6,78,smamran
145,6,4,anayini
146,7,4,hunkyu
147,14,2,chaodaqing
148,15,3,elPandaFriki
149,1,2,stefanhendriks
150,0,9,BoyWithSilverWings
151,9,2,samehkamaleldin
152,7,3,GuanlinLee
153,5,1,kangshaoshun
154,0,3,fuse-mars
155,25,2,dimgold
156,0,16,AndreiRailean
157,32,9,dongrenguang
158,22,2,LiXiuhong
159,10,103,minrk
160,6,1,sureshsarda
161,35,3,mahdiabdolmaleki
162,6,6,alethea
163,34,2,banixc
164,6,8,besquared
165,16,2,BlackDante
166,13,53,mohanarunachalam
167,11,2,crosstreet74
168,6,27,LeonardoCardoso
169,32,1,ascode
170,6,1,jakobsandberg
171,32,2,asinbow
172,7,1,aarzchan
173,9,5,anilkunwar
174,0,7,bushidocodes
175,0,29,davegomez
176,29,3,SecureCloud-biz
177,0,6,ibnujakaria
178,0,7,Joe8Bit
179,29,20,frankodoom
180,6,5,lxchavez
181,0,19,sjwilliams
182,7,39,YunzhuLi
183,6,3,chenlongqiang
184,14,61,surunzi
185,6,28,poudel
186,0,3,Daaaaad
187,13,3,boxabirds
188,16,1,Graphettion
189,0,3,szenekonzept
190,0,9,nicolsc
191,14,2,Kingson4Wu
192,0,16,iamKael
193,3,18,findingsea
194,27,25,redaxmedia
195,0,2,r3dcrosse
196,6,1,amoose136
197,0,40,osmangoninahid
198,9,5,eparejatobes
199,35,2,craigrshenton
200,0,8,thierrymichel
201,0,23,dikyarga
202,0,3,saeedtabrizi
203,14,13,mikaelkaron
204,5,1,Solicite
205,9,10,F36
206,33,3,chenxuhao
207,6,2,HiDAl
208,4,6,kasiditi
209,0,1,thisismydesign
210,32,5,summerwang0915
211,9,1,lupengkai
212,14,2,jiangxtx
213,22,8,hanyeliu
214,7,6,lijiannuist
215,35,7,AghilesAzzoug
216,6,7,karel-3d
217,32,1,SeanJia
218,13,35,ilija139
219,0,36,ahmedalaahagag
220,22,1,chenxy99
221,4,1,Cristian006
222,0,4,dedevillela
223,6,9,NoahOrberg
224,14,7,panda020111
225,32,1,caddyliu
226,13,3,rdspring1
227,0,10,itsJASPERr
228,9,19,Drunkar
229,8,1,rousseauo
230,0,23,rqbazan
231,0,6,iamnapo
232,35,23,cowlicks
233,5,4,ed-george
234,13,1,tessavdheiden
235,35,9,juliotorresmoreno
236,6,7,mfilej
237,0,3,MilindaLaknath
238,6,1,antonov
239,25,52,hjanime
240,6,29,meyskens
241,16,12,lazarofl
242,32,17,lmm0591
243,35,11,mattdennewitz
244,16,11,Gdewilde
245,6,1,ZhengshengWei
246,32,9,petitspois
247,7,1,lymhust
248,32,3,suliang
249,4,1,MeteALANLI
250,0,3,olohmann
251,0,2,McKenzieJDan
252,0,1,mar-bi
253,5,45,kaochenlong
254,6,4,herbat73
255,0,9,ihorzenich
256,0,2,jlilja
257,0,4,gon250
258,0,6,loic-sharma
259,13,2,GTmac
260,8,9,apetresc
261,5,11,nicktoumpelis
262,35,9,dweekly
263,16,2,brandon-beacher
264,35,13,luismendozamx
265,35,12,jumbosushi
266,8,11,anilozmen
267,35,1,prashanthbasani
268,35,2,rodionovp
269,25,18,naupaka
270,35,5,not-for-me
271,25,2,jmgirard
272,35,5,ecrider
273,32,11,ding-hai
274,5,6,rkyymmt
275,6,5,guillaumerose
276,14,7,nevernet
277,6,24,priyatam
278,0,16,ganesharulanantham
279,1,5,justein
280,35,2,eoinsha
281,0,25,skyhitblog
282,9,17,ashish1500616
283,18,1,alberto-hortelano
284,6,11,felipesabino
285,14,7,saifeiLee
286,0,2,Guzpenha
287,16,4,a-dabrowski
288,7,4,AotY
289,36,1,scanfyu
290,32,1,thunderrun
291,6,7,splorp
292,0,1,actionsmile
293,0,5,johngriffin
294,0,3,felixhorro
295,0,4,larc000
296,0,17,arashm
297,0,15,regalius
298,35,34,akatrevorjay
299,13,1,aglupotto
300,35,4,levindoneto
301,35,7,milesgranger
302,32,7,AlixChiong
303,22,8,KinglittleQ
304,9,3,asanka94
305,6,12,cakecatz
306,16,1,stringariSM
307,32,3,liuganggang
308,32,82,kinvix
309,0,19,MarkBennett
310,6,5,mafairnet
311,0,19,davequick
312,14,3,carolove
313,6,4,Roma36
314,0,12,jordanpapaleo
315,9,3,soutik
316,16,5,dmente03
317,6,3,stevenlr
318,16,5,ebertti
319,6,9,lsd
320,35,15,miho
321,6,45,javiercejudo
322,9,3,seik
323,4,8,romanslonov
324,3,4,Liweimin0512
325,35,8,Jyothsnasrinivas
326,0,50,boneskull
327,0,5,artisonian
328,6,3,jkusachi
329,9,1,RodrigoCS
330,16,2,kgaut
331,13,1,MrShininnnnn
